brand,model,year,mileage,engine_type,transmission,color,bodywork,doors_num,steering_wheel,vin,owners_num,tech_condition,horsepower,engine_capacity,price,price_currency,price_with_nds
Audi,A6,2011,125000,DIESEL,ALL_WHEEL_DRIVE,97948F,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,245,3.0d AMT (245 л.с.) 4WD,1050000,RUR,False
Audi,Q3,2020,0,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,0,NOT_BEATEN,180,40 TFSI 2.0 AMT (180 л.с.) 4WD,2971000,RUR,False
Audi,A4,2011,129053,GASOLINE,FORWARD_CONTROL,EE1D19,SEDAN,4,LEFT,WAU**************,1,NOT_BEATEN,160,1.8 CVT (160 л.с.),899000,RUR,False
Audi,A6,2001,174255,GASOLINE,ALL_WHEEL_DRIVE,97948F,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,220,3.0 AT (220 л.с.) 4WD,295000,RUR,False
Audi,A6,2007,142377,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,255,3.1 AT (255 л.с.) 4WD,455000,RUR,False
Audi,A4,2002,167878,GASOLINE,ALL_WHEEL_DRIVE,0000CC,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,170,1.8 AT (170 л.с.) 4WD,354000,RUR,False
Audi,A6,2007,147555,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,255,3.1 AT (255 л.с.) 4WD,485000,RUR,False
Audi,A6,2005,209000,GASOLINE,ALL_WHEEL_DRIVE,97948F,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,255,3.1 AT (255 л.с.) 4WD,435000,RUR,False
Audi,A6 allroad,2002,174000,GASOLINE,ALL_WHEEL_DRIVE,040001,WAGON_5_DOORS,5,LEFT,WA1**************,3,NOT_BEATEN,250,2.7 AT (250 л.с.) 4WD,200000,RUR,False
Audi,A6 allroad,2008,302000,DIESEL,ALL_WHEEL_DRIVE,CACECB,WAGON_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,233,3.0d AT (233 л.с.) 4WD,800000,RUR,False
Audi,A6,2008,201000,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,2,NOT_BEATEN,249,3.1 AT (249 л.с.) 4WD,699000,RUR,False
