brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,doors_num,steering_wheel,tech_condition,owners_num,vin,color

Audi,A6,2011,1050000,125000,245,,DIESEL,ALL_WHEEL_DRIVE,AMT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,GRAY

Audi,Q3,2020,2971000,0,180,40,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,0,WAU**************,SNOW

Audi,A4,2011,899000,129053,160,1.8,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,4,LEFT,NOT_BEATEN,1,WAU**************,CRIMSON

Audi,A6,2001,295000,174255,220,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,GRAY

Audi,A6,2007,455000,142377,255,3.1,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,A4,2002,354000,167878,170,1.8,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,MEDIUMBLUE

Audi,A6,2007,485000,147555,255,3.1,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,A6,2005,435000,209000,255,3.1,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,GRAY

Audi,A6 allroad,2002,200000,174000,250,2.7,GASOLINE,ALL_WHEEL_DRIVE,AT,WAGON,5,LEFT,NOT_BEATEN,3,WA1**************,BLACK

Audi,A6 allroad,2008,800000,302000,233,,DIESEL,ALL_WHEEL_DRIVE,AT,WAGON,5,LEFT,NOT_BEATEN,3,WAU**************,LIGHTGRAY

Audi,A6,2008,699000,201000,249,3.1,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,A6,2011,900000,189000,204,2.8,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,LIGHTGRAY

Audi,A3,1998,165000,330000,101,1.6,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,3,LEFT,NOT_BEATEN,3,WAU**************,MEDIUMBLUE

Audi,A8,1995,220000,351000,300,4.2,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,A5,2010,970000,206000,239,,DIESEL,ALL_WHEEL_DRIVE,AMT,COUPE,2,LEFT,NOT_BEATEN,1,WAU**************,SNOW

Audi,A7,2016,2590000,57627,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,LIFTBACK,5,LEFT,NOT_BEATEN,1,WAU**************,SNOW

Audi,Q7,2006,650000,240000,233,,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,3,WAU**************,GRAY

Audi,A6 allroad,2015,2550000,56000,333,3.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,WAGON,5,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,Q7,2008,820000,199000,350,4.2,GASOLINE,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,2,WA1**************,SNOW

Audi,S6,2014,2049000,158500,420,4.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,A7,2011,1049000,157000,300,3.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,LIFTBACK,5,LEFT,NOT_BEATEN,2,WAU**************,SNOW

Audi,A3,2014,950000,105000,122,1.4,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,1,WAU**************,SNOW

Audi,A4,2013,850000,154000,170,1.8,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,A8,2013,1590000,90000,290,,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,A4,2014,1100000,91240,170,1.8,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,GRAY

Audi,A7,2014,1600000,28888,310,3.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,LIFTBACK,5,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,A6,2015,1970000,85000,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,SEDAN,4,LEFT,NOT_BEATEN,1,XW8**************,BLACK

Audi,A6,1997,200000,418798,150,2.6,GASOLINE,ALL_WHEEL_DRIVE,MT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,LIGHTGRAY

Audi,Q5,2009,670000,215000,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,Q7,2016,3150000,114000,249,,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,1,WAU**************,BLACK

Audi,Q7,2010,1448000,174000,245,,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,A6,2015,1100000,120000,190,1.8,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,Q5,2009,800000,106000,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,3,WAU**************,GRAY

Audi,A3,2009,480000,132000,102,1.6,GASOLINE,FORWARD_CONTROL,AMT,HATCHBACK,5,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,A3,2015,1450000,87000,180,1.8,GASOLINE,ALL_WHEEL_DRIVE,AMT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,Q3,2016,1795000,53472,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,1,WAU**************,GRAY

Audi,A4,2015,1049000,107300,120,1.8,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,4,LEFT,NOT_BEATEN,1,WAU**************,BLACK

Audi,Q5,2013,1230000,140000,225,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,3,XW8**************,SNOW

Audi,Q7,2016,4599000,27300,249,,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,1,XW8**************,GRAY

Audi,A4,2015,1100000,149000,170,1.8,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,MEDIUMBLUE

Audi,Q3,2015,1570000,56100,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,2,WAU**************,SNOW

Audi,Q5,2020,3810000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,0,WAU**************,SNOW

Audi,A8,2019,10638000,0,460,60,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,0,WAU**************,BLACK

