brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,doors_num,steering_wheel,tech_condition,owners_num,color,vin
Audi,e-tron,2020,7558200,0,408,,ELECTRO,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,WAUZZZGEXLB****17
Audi,A6,2020,2701000,0,190,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLACK,WAUZZZF24LN****74
Audi,A4,2020,3943892,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,WAUZZZF49MA****95
Audi,A3,2020,2016000,0,150,1.4,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,WHITE,WAUZZZ8V4LA****25
Audi,A4,2016,1699000,102000,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,WHITE,
Audi,Q5,2020,3505000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZFY6L2****73
Audi,A3,2020,2016000,0,150,1.4,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,SILVER,WAUZZZ8V1LA****35
Audi,A5,2012,1016000,128594,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,COUPE,2,LEFT,,,BLUE,
Audi,A4,2017,1615000,38608,150,1.4,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,GREY,
Audi,A8,2013,1419000,180716,420,4.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,Q5,2015,2000000,50000,224,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,
Audi,A6,2016,2348000,52742,333,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,BLACK,
Audi,Q5,2016,2197800,75162,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,
Audi,A8,2011,1075000,158000,290,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,Q5,2020,3888645,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZFY7L2****82
