производитель,модель,цена,год_выпуска,пробег,тип_двигателя,привод,цвет,тип_кузова,количество_дверей,руль,номер_кузова,владельцы_птс,лошадиные_силы,объем_двигателя
Audi ,"80, 8C/B4",100 000,1992,428000,Бензин ,Передний,черный,Седан,4,Левый,WAUZZZ***********,2,115, 2 
Audi ,"A6, 4B/C5",110 000,1999,189000,Дизель ,Передний,синий,Универсал,5,Левый,,3,150, 2.5 
Audi ,"A6, 4F/C6",355 000,2006,250500,Бензин ,Передний,черный,Седан,4,Левый,WAUZZZ***********,5,177, 2.4 
Audi ,"A8, D4/4H",1 300 000,2011,193000,Дизель ,Полный,черный,Седан,4,Левый,WAUZZZ***********,3,250, 3 
Audi ,"Q7, 4L",1 150 000,2008,205000,Дизель ,Полный,черный,Кроссовер,5,Левый,WAUZZZ***********,2,326, 4.1 
Audi ,"A6, 4G/C7",1 095 000,2013,126000,Бензин ,Передний,белый,Седан,4,Левый,,3,180, 2 
Audi ,"A6, 4G/C7",959 000,2012,107205,Бензин ,Полный,черный,Седан,4,,WAUZZZ***********,3,204, 2.8 
Audi ,"A4, B8/8K",735 000,2010,101993,Бензин ,Полный,черный,Седан,4,Левый,,1,211, 2 
Audi ,"Q3, 8U",929 000,2013,81900,Бензин ,Полный подключаемый,белый,Кроссовер,5,,WAUZZZ***********,1,170, 2 
Audi ,"Q7, 4L [рестайлинг]",1 549 000,2013,83250,Дизель ,Полный,серый,Кроссовер,5,,WAUZZZ***********,3,245, 3 
Audi ,"A4, B8/8K",555 000,2010,110200,Бензин ,Передний,белый,Седан,4,,XW8ZZZ***********,1,160, 1.8 
Audi ,"Q5, 8R",679 000,2010,106000,Бензин ,Полный,белый,Кроссовер,5,,XW8ZZZ***********,2,211, 2 
Audi ,"Q5, 8R",865 000,2011,155000,Бензин ,Полный,белый,Кроссовер,5,Левый,,4,211, 2 
Audi ,"Q5, 8R",969 000,2012,116000,Дизель ,Полный,черный,Кроссовер,5,,WAUZZZ***********,1,240, 3 
Audi ,"A4 Allroad quattro, B8/8K [рестайлинг]",965 000,2012,140000,Бензин ,Полный,черный,Универсал,5,Левый,,1,211, 2 
Audi ,"A6, 4F/C6",547 000,2008,165220,Дизель ,Передний,голубой,Седан,4,Левый,,,140, 2 
Audi ,"A4, B8/8K",619 000,2010,110500,Бензин ,Передний,белый,Седан,4,,WAUZZZ***********,3,120, 1.8 
Audi ,"A6, 4G/C7",1 219 000,2011,127000,Дизель ,Полный,серый,Седан,4,,WAUZZZ***********,3,245, 3 
Audi ,"A6, 4G/C7",927 000,2013,114033,Бензин ,Передний,черный,Седан,4,Левый,,,180, 2 
Audi ,"A6, 4G/C7",1 395 000,2014,80822,Бензин ,Полный,синий,Седан,4,,WAUZZZ***********,2,204, 2.8 
Audi ,"A1, 8X",856 900,2014,93500,Бензин ,Передний,белый,Хетчбэк,5,Левый,WAUZZZ***********,2,122, 1.4 
Audi ,"Q3, 8U",1 368 400,2014,121302,Бензин ,Полный подключаемый,коричневый,Кроссовер,5,Левый,WAUZZZ***********,1,170, 2 
Audi ,"A5, 8T",689 000,2010,113000,Бензин ,Передний,черный,Купе,2,,WAUZZZ***********,3,160, 1.8 
Audi ,"A4, B8/8K",499 000,2010,129600,Бензин ,Передний,красный,Седан,4,,XW8ZZZ***********,1,160, 1.8 
Audi ,"A5, 8T [рестайлинг]",1 350 000,2014,138458,Бензин ,Полный,синий,Купе,2,Левый,WAUZZZ***********,2,225, 2 
Audi ,"Q3, 8U [рестайлинг]",1 840 000,2017,26159,Бензин ,Передний,голубой,Кроссовер,5,Левый,WAUZZZ***********,1,150, 1.4 
Audi ,"A4, B8/8K",539 000,2011,117500,Бензин ,Передний,синий,Седан,4,,WAUZZZ***********,1,160, 1.8 
Audi ,"Q7, 4L",899 000,2009,109000,Дизель ,Полный,серебряный,Кроссовер,5,,WAUZZZ***********,3,326, 4.1 
Audi ,"A8, D4/4H",1 149 000,2011,106000,Бензин ,Полный,черный,Седан,4,,WAUZZZ***********,3,372, 4.2 
Audi ,"A4, B8/8K",670 000,2011,277000,Бензин ,Передний,голубой,Седан,4,Левый,WAUZZZ***********,,160, 1.8 
Audi ,"A8, D4/4H",1 249 000,2011,147000,Бензин ,Полный,черный,Седан,4,,WAUZZZ***********,2,372, 4.2 
Audi ,A4,589 000,2011,92000,Бензин ,Передний,белый,Седан,4,,WAUZZZ***********,1,211, 2 
Audi ,"A6, 4B/C5",195 000,2001,40000,Бензин ,Передний,черный,Седан,4,Левый,WAUZZZ***********,4,150, 1.8 
Audi ,"Q5, 8R",899 000,2010,105000,Бензин ,Полный,белый,Кроссовер,5,,XW8ZZZ***********,1,211, 2 
Audi ,"Q5, 8R",749 000,2010,118000,Бензин ,Полный,бежевый,Кроссовер,5,,WAUZZZ***********,1,211, 2 
