brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,doors_num,steering_wheel,tech_condition,owners_num,vin,color
Audi,A6,2011,1050000,125000.0,245.0,,DIESEL,ALL_WHEEL_DRIVE,AMT,SEDAN,4.0,LEFT,NOT_BEATEN,3.0,WAU**************,GRAY
Audi,Q3,2020,2971000,0.0,180.0,40,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5.0,LEFT,NOT_BEATEN,0.0,WAU**************,SNOW
Audi,A4,2011,899000,129053.0,160.0,1.8,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,4.0,LEFT,NOT_BEATEN,1.0,WAU**************,CRIMSON
Audi,A6,2001,295000,174255.0,220.0,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4.0,LEFT,NOT_BEATEN,3.0,WAU**************,GRAY
Audi,A6,2007,455000,142377.0,255.0,3.1,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4.0,LEFT,NOT_BEATEN,3.0,WAU**************,BLACK
Audi,A4,2002,354000,167878.0,170.0,1.8,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4.0,LEFT,NOT_BEATEN,3.0,WAU**************,MEDIUMBLUE
Audi,A6,2007,485000,147555.0,255.0,3.1,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4.0,LEFT,NOT_BEATEN,3.0,WAU**************,BLACK
Audi,A6,2005,435000,209000.0,255.0,3.1,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4.0,LEFT,NOT_BEATEN,3.0,WAU**************,GRAY
Audi,A6 allroad,2002,200000,174000.0,250.0,2.7,GASOLINE,ALL_WHEEL_DRIVE,AT,WAGON,5.0,LEFT,NOT_BEATEN,3.0,WA1**************,BLACK
Audi,A6 allroad,2008,800000,302000.0,233.0,,DIESEL,ALL_WHEEL_DRIVE,AT,WAGON,5.0,LEFT,NOT_BEATEN,3.0,WAU**************,LIGHTGRAY
Audi,A6,2008,699000,201000.0,249.0,3.1,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4.0,LEFT,NOT_BEATEN,2.0,WAU**************,BLACK
Audi,A6,2011,900000,189000.0,204.0,2.8,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,4.0,LEFT,NOT_BEATEN,2.0,WAU**************,LIGHTGRAY
Audi,A3,1998,165000,330000.0,101.0,1.6,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,3.0,LEFT,NOT_BEATEN,3.0,WAU**************,MEDIUMBLUE
Audi,A8,1995,220000,351000.0,300.0,4.2,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4.0,LEFT,NOT_BEATEN,3.0,WAU**************,BLACK
Audi,A5,2010,970000,206000.0,239.0,,DIESEL,ALL_WHEEL_DRIVE,AMT,COUPE,2.0,LEFT,NOT_BEATEN,1.0,WAU**************,SNOW
Audi,A7,2016,2590000,57627.0,249.0,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,LIFTBACK,5.0,LEFT,NOT_BEATEN,1.0,WAU**************,SNOW
Audi,Q7,2006,650000,240000.0,233.0,,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,5.0,LEFT,NOT_BEATEN,3.0,WAU**************,GRAY
